question,answer
What is the purpose of this manual?,This manual provides operation and maintenance information for the SW405K wheel loader.
What could happen if the machine is operated or maintained improperly?,Death or serious injury could result.
Who should operate and maintain this machine?,Only trained and experienced personnel should operate and maintain this machine.
Why is it important to read and understand this manual?,"It is important to read and understand this manual before beginning any operation or service, and all personnel involved with the machine should periodically read it to remain knowledgeable on its operation and service."
What is the purpose of the items addressed in this manual?,"The items addressed in this manual are designed to help the operator or service personnel understand the controls and operation of the machine, point out possible hazardous situations, increase machine efficiency, prolong the service life of the machine, and reduce maintenance costs."
Can changes in the design of this machine lead to new information not covered in this manual?,"Yes, continuing improvements in the design of this machine can lead to changes which may not be covered in this manual."
What should you do if you have questions about the information in this manual?,Contact a SANY dealer for the latest available information on the machine or to answer any questions regarding information in this manual.
What documentation package is provided for this machine?,"The documentation package includes the operation and maintenance manual, parts manual, and maintenance log."
What must be stored in the machine or be accessible to the operator at all times?,A copy of the operation and maintenance manual must be stored in the machine or be accessible to the operator at all times.
What is the purpose of the SW405K wheel loader operation and maintenance manual?,The purpose of this manual is to provide operation and maintenance information for the SW405K wheel loader.
What is the consequence of unsafe operation or maintenance of the SW405K wheel loader?,Unsafe operation and maintenance of this machine could result in death or serious injury.
Who should operate and maintain the SW405K wheel loader?,This machine must be operated and maintained by trained and experienced personnel.
What should be done before operating or servicing the SW405K wheel loader?,Do not operate or work on this machine without first reading and understanding this operation and maintenance manual.
How can the operator or service personnel benefit from reading this manual?,"The manual helps the operator or service personnel understand the controls and operation of the machine, point out possible hazardous situations, increase machine efficiency during operation, prolong the service life of the machine, and reduce maintenance costs."
What should be done if continuing improvements in the design of the SW405K wheel loader lead to changes not covered in the manual?,Contact a SANY dealer for the latest available information on the machine or to answer any questions regarding information in this manual.
What should be done with the documentation of the SW405K wheel loader?,The documentation should not be used with any other machine and should be made available to all service personnel.
Where should a copy of the SW405K wheel loader operation and maintenance manual be stored or kept?,"A copy of this manual must be stored in the machine or be accessible to the operator at all times, and should be provided to the new owner if the machine is sold. It should also be made available to maintenance personnel when servicing the machine."
What is the purpose of this manual?,To provide operation and maintenance information for the SW405K wheel loader.
What is the warning regarding the operation and maintenance of this machine?,Unsafe operation and maintenance of this machine could result in death or serious injury.
Who should operate and maintain this machine?,Trained and experienced personnel.
What should be done before beginning any operation or service?,Read and understand this operation and maintenance manual.
Who should read this manual periodically?,All personnel involved with this machine.
